instance,settings_prefix,m,n,value,time,nIter,best_iter,improv_count
mm-5-25-1110588,Memetic_MPX,5.0,25.0,5235.333333333333,1003.0,166.33333333333334,166.33333333333334,167.33333333333334
mm-25-25-1762875,Memetic-LS_MMX,25.0,25.0,3748.3333333333335,1001.3333333333334,1120.3333333333333,1120.3333333333333,1121.3333333333333
mm-20-25-1110588,Memetic-LS_MPX,20.0,25.0,4126.0,1001.6666666666666,1014.6666666666666,1014.6666666666666,1015.6666666666666
mm-15-40-1917698,Memetic_MMX,15.0,40.0,7627.666666666667,1011.0,44.333333333333336,44.333333333333336,45.333333333333336
mm-5-40-1917698,Memetic-LS_MMX,5.0,40.0,5639.0,1004.0,640.0,640.0,641.0
mm-10-40-1767920,Memetic-LS_MPX,10.0,40.0,5196.0,1001.3333333333334,540.3333333333334,540.3333333333334,541.3333333333334
mm-15-40-1917698,Memetic_MPX,15.0,40.0,6512.0,1004.3333333333334,68.33333333333333,68.33333333333333,69.33333333333333
mm-5-25-1762875,Memetic-LS_MMX,5.0,25.0,4530.666666666667,1001.0,1261.6666666666667,1261.6666666666667,1262.6666666666667
mm-20-25-1917698,Memetic-LS_MPX,20.0,25.0,4092.0,1001.0,1079.3333333333333,1079.3333333333333,1080.3333333333333
mm-15-10-1110588,Memetic-LS_MMX,15.0,10.0,2881.3333333333335,1002.0,2642.3333333333335,2642.3333333333335,2643.3333333333335
mm-15-25-1767920,Memetic_MPX,15.0,25.0,4913.333333333333,1013.0,115.0,115.0,116.0
mm-15-40-1767920,Memetic-LS_MMX,15.0,40.0,5342.0,1003.6666666666666,663.0,663.0,664.0
