instance,settings,m,n,value,time,nIter,best_iter,improv_count
WS_mm-5-40-1767920,Memetic-LS_MMX_1881515,5,40,6759.0,1024006.0,723249,723249,723250
WS_mm-25-10-1110588,Memetic-LS_MPX_1881515,25,10,2223.0,1024001.0,2196978,2196978,2196979
WS_mm-5-10-1891798,Memetic-LS_MPX_1881515,5,10,3119.0,1024001.0,3261912,3261912,3261913
WS_mm-15-25-1917698,Memetic_MPX_1099666,15,25,5626.0,1024003.0,111693,111693,111694
WS_mm-5-25-1110588,Memetic_MMX_1881515,5,25,5597.0,1024003.0,228057,228057,228058
WS_mm-10-40-1917698,Memetic-LS_MMX_1881515,10,40,6145.0,1024009.0,642759,642759,642760
WS_mm-25-10-1767920,Memetic_MPX_1099666,25,10,3923.0,1024001.0,190712,190712,190713
WS_mm-20-25-1110588,Memetic-LS_MMX_1099666,20,25,5287.0,1024002.0,806112,806112,806113
WS_mm-20-10-1762875,Memetic_MPX_1881515,20,10,4099.0,1024002.0,241505,241505,241506
WS_mm-15-10-1110588,Memetic-LS_MPX_1287823,15,10,2813.0,1024001.0,2841861,2841861,2841862
WS_mm-5-40-1891798,Memetic_MPX_1881515,5,40,7982.0,1024004.0,78728,78728,78729
WS_mm-15-10-1110588,Memetic-LS_MPX_1099666,15,10,2733.0,1024001.0,2863326,2863326,2863327
WS_mm-15-25-1767920,Memetic_MPX_1881515,15,25,5459.0,1024012.0,110313,110313,110314
WS_mm-15-25-1767920,Memetic-LS_MMX_1099666,15,25,5011.0,1024001.0,1125768,1125768,1125769
WS_mm-5-10-1917698,Memetic-LS_MPX_1287823,5,10,2912.0,1024001.0,3144003,3144003,3144004
WS_mm-25-25-1891798,Memetic-LS_MPX_1881515,25,25,2059.0,1024001.0,1217168,1217168,1217169
WS_mm-10-25-1110588,Memetic_MPX_1287823,10,25,5750.0,1024006.0,147708,147708,147709
WS_mm-20-25-1110588,Memetic_MMX_1099666,20,25,6405.0,1024002.0,98007,98007,98008
WS_mm-5-40-1891798,Memetic_MMX_1099666,5,40,7981.0,1024004.0,97399,97399,97400
WS_mm-10-25-1891798,Memetic_MMX_1881515,10,25,6468.0,1024006.0,114574,114574,114575
WS_mm-15-40-1891798,Memetic-LS_MPX_1099666,15,40,4027.0,1024002.0,760712,760712,760713
WS_mm-5-10-1917698,Memetic-LS_MMX_1287823,5,10,3106.0,1024001.0,3426077,3426077,3426078
WS_mm-5-10-1767920,Memetic-LS_MMX_1881515,5,10,2923.0,1024001.0,4628528,4628528,4628529
WS_mm-20-25-1917698,Memetic-LS_MPX_1881515,20,25,2864.0,1024001.0,1298781,1298781,1298782
WS_mm-5-10-1110588,Memetic-LS_MPX_1099666,5,10,2613.0,1024001.0,4011707,4011707,4011708
WS_mm-5-10-1110588,Memetic-LS_MMX_1881515,5,10,2647.0,1024001.0,4741203,4741203,4741204
WS_mm-15-40-1917698,Memetic-LS_MMX_1099666,15,40,7581.0,1024005.0,612467,612467,612468
WS_mm-5-25-1917698,Memetic-LS_MPX_1287823,5,25,4564.0,1024002.0,1048023,1048023,1048024
WS_mm-5-10-1891798,Memetic_MPX_1287823,5,10,3194.0,1024002.0,494962,494962,494963
WS_mm-5-10-1767920,Memetic-LS_MMX_1099666,5,10,2797.0,1024001.0,4685710,4685710,4685711
WS_mm-10-10-1762875,Memetic-LS_MPX_1881515,10,10,2532.0,1024001.0,2633559,2633559,2633560
WS_mm-10-25-1767920,Memetic-LS_MPX_1881515,10,25,5302.0,1024001.0,1195105,1195105,1195106
WS_mm-20-25-1110588,Memetic-LS_MPX_1881515,20,25,2923.0,1024004.0,1352653,1352653,1352654
WS_mm-25-10-1767920,Memetic_MMX_1287823,25,10,4480.0,1024003.0,142117,142117,142118
WS_mm-10-10-1891798,Memetic-LS_MPX_1287823,10,10,3180.0,1024001.0,2219920,2219920,2219921
WS_mm-25-10-1917698,Memetic_MMX_1287823,25,10,4914.0,1024004.0,131986,131986,131987
WS_mm-15-25-1110588,Memetic_MMX_1287823,15,25,6995.0,1024001.0,77192,77192,77193
WS_mm-10-25-1762875,Memetic-LS_MMX_1881515,10,25,5361.0,1024002.0,1076558,1076558,1076559
WS_mm-5-40-1110588,Memetic_MPX_1287823,5,40,7240.0,1024001.0,62998,62998,62999
WS_mm-25-10-1891798,Memetic-LS_MPX_1099666,25,10,2195.0,1024001.0,2122969,2122969,2122970
WS_mm-5-10-1891798,Memetic_MMX_1881515,5,10,3198.0,1024002.0,584599,584599,584600
WS_mm-10-10-1110588,Memetic-LS_MPX_1881515,10,10,3196.0,1024001.0,2571373,2571373,2571374
WS_mm-15-10-1767920,Memetic_MMX_1881515,15,10,4568.0,1024001.0,207336,207336,207337
WS_mm-15-40-1891798,Memetic-LS_MMX_1881515,15,40,5292.0,1024001.0,630829,630829,630830
WS_mm-10-25-1762875,Memetic-LS_MMX_1099666,10,25,5155.0,1024003.0,1175966,1175966,1175967
WS_mm-25-10-1891798,Memetic_MMX_1287823,25,10,5349.0,1024014.0,139839,139839,139840
WS_mm-15-25-1767920,Memetic_MMX_1099666,15,25,6133.0,1024008.0,93895,93895,93896
WS_mm-10-10-1767920,Memetic_MMX_1099666,10,10,3933.0,1024003.0,299580,299580,299581
WS_mm-15-25-1891798,Memetic_MMX_1099666,15,25,6029.0,1024007.0,90322,90322,90323
WS_mm-20-25-1891798,Memetic-LS_MMX_1099666,20,25,5293.0,1024001.0,1228377,1228377,1228378
WS_mm-15-25-1891798,Memetic-LS_MPX_1287823,15,25,3840.0,1024001.0,1326072,1326072,1326073
WS_mm-10-25-1762875,Memetic_MPX_1287823,10,25,5400.0,1024001.0,148404,148404,148405
WS_mm-15-40-1110588,Memetic-LS_MPX_1881515,15,40,3031.0,1024001.0,881989,881989,881990
WS_mm-5-10-1891798,Memetic_MPX_1099666,5,10,3198.0,1024001.0,711805,711805,711806
WS_mm-5-25-1767920,Memetic-LS_MPX_1099666,5,25,5236.0,1024001.0,1101520,1101520,1101521
WS_mm-5-25-1917698,Memetic_MPX_1881515,5,25,5159.0,1024006.0,169530,169530,169531
WS_mm-15-40-1110588,Memetic-LS_MMX_1099666,15,40,6254.0,1024001.0,681429,681429,681430
WS_mm-10-40-1762875,Memetic_MPX_1099666,10,40,7414.0,1024005.0,78774,78774,78775
WS_mm-20-10-1110588,Memetic-LS_MPX_1099666,20,10,2286.0,1024001.0,2485413,2485413,2485414
WS_mm-10-40-1767920,Memetic-LS_MMX_1881515,10,40,6041.0,1024001.0,650549,650549,650550
WS_mm-5-25-1767920,Memetic_MPX_1287823,5,25,5527.0,1024007.0,154229,154229,154230
WS_mm-15-10-1110588,Memetic-LS_MMX_1099666,15,10,3901.0,1024002.0,2646576,2646576,2646577
WS_mm-10-10-1917698,Memetic-LS_MPX_1287823,10,10,2838.0,1024001.0,2634883,2634883,2634884
